gamePk,date,gameDate,season,gameType,status,statusCode,home_team_id,home_team_name,home_score,home_wins,home_losses,home_pct,home_is_winner,away_team_id,away_team_name,away_score,away_wins,away_losses,away_pct,away_is_winner,venue_id,venue_name,doubleHeader,gameNumber,dayNight,description,scheduledInnings,seriesGameNumber,gamesInSeries,attendance,attendance_high_for_date,attendance_low_for_date,is_doubleheader_date,home_jersey,home_pants,home_cap,home_jersey_code,away_jersey,away_pants,away_cap,away_jersey_code
778563,2025-03-18,2025-03-18T10:10:00Z,2025,R,Final,F,112,Chicago Cubs,1.0,0,1,.000,False,119,Los Angeles Dodgers,4.0,1,0,1.000,True,2397,Tokyo Dome,N,1,night,"in Tokyo, Japan",9,1,2,42365.0,42365.0,42365.0,False,Cubs Home Pinstripe Jersey,Cubs Home Pinstripe Pants,Cubs Primary Blue Hat,112_jersey_1_2025,"Dodgers Alt Road Grey ""Dodgers"" Jersey",Dodgers Road Grey Pants,Dodgers Primary Blue Hat,119_jersey_3_2025
778564,2025-03-19,2025-03-19T10:10:00Z,2025,R,Final,F,112,Chicago Cubs,3.0,0,2,.000,False,119,Los Angeles Dodgers,6.0,2,0,1.000,True,2397,Tokyo Dome,N,1,night,"in Tokyo, Japan",9,2,2,42367.0,42367.0,42367.0,False,Cubs Away Grey Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_2_2025,Dodgers Home White Jersey,Dodgers Home White Pants,Dodgers Primary Blue Hat,119_jersey_1_2025
778557,2025-03-27,2025-03-27T19:05:00Z,2025,R,Final,F,147,New York Yankees,4.0,1,0,1.000,True,158,Milwaukee Brewers,2.0,0,1,.000,False,3313,Yankee Stadium,N,1,day,Yankees home opener,9,1,3,46208.0,46208.0,46208.0,False,Yankees Home Pinstripe Jersey,Yankees Home Pinstripe Pants,Yankees Primary Navy Hat,147_jersey_1_2025,Brewers Alt Blue Jersey,Brewers Road Grey Pants,Brewers Alt Yellow Front Hat,158_jersey_4_2025
778556,2025-03-27,2025-03-27T19:07:00Z,2025,R,Final,F,141,Toronto Blue Jays,2.0,0,1,.000,False,110,Baltimore Orioles,12.0,1,0,1.000,True,14,Rogers Centre,N,1,day,Blue Jays home opener,9,1,4,40734.0,40734.0,40734.0,False,Blue Jays Home White Jersey,Blue Jays Home White Pants,Blue Jays Primary All Blue Hat,141_jersey_1_2025,Orioles Alt Black Jersey,Orioles Away Grey Pants,"Orioles Alt Black Front Orange Bill ""O's"" Hat",110_jersey_3_2025
778545,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,135,San Diego Padres,7.0,1,0,1.000,True,144,Atlanta Braves,4.0,0,1,.000,False,2680,Petco Park,N,1,day,Padres home opener,9,1,4,45568.0,45568.0,45568.0,False,Padres Home White Pinstripe Jersey,Padres Home White Pinstripe Pants,Padres Primary All Brown Hat,135_jersey_1_2025,Braves Road Grey Jersey,Braves Road Grey Pants,Braves Alt All Navy Hat,144_jersey_2_2025
778553,2025-03-27,2025-03-27T20:05:00Z,2025,R,Final,F,140,Texas Rangers,2.0,0,1,.000,False,111,Boston Red Sox,5.0,1,0,1.000,True,5325,Globe Life Field,N,1,day,Rangers home opener,9,1,4,37585.0,37585.0,37585.0,False,Rangers Home White Jersey,Rangers Home White Pants,Rangers Primary All Blue Hat,140_jersey_1_2025,Red Sox Away Grey Jersey,Red Sox Away Grey Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_2_2025
778555,2025-03-27,2025-03-27T20:05:00Z,2025,R,Final,F,120,Washington Nationals,3.0,0,1,.000,False,143,Philadelphia Phillies,7.0,1,0,1.000,True,3309,Nationals Park,N,1,day,Nationals home opener,9,1,3,41231.0,41231.0,41231.0,False,Nationals Home White Jersey,Nationals Home White Pants,"Nationals Primary Red ""W"" Hat",120_jersey_1_2025,Phillies Away Grey Jersey,Phillies Away Grey Pants,Phillies Primary Red Hat,143_jersey_2_2025
778558,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,118,Kansas City Royals,4.0,0,1,.000,False,114,Cleveland Guardians,7.0,1,0,1.000,True,7,Kauffman Stadium,N,1,day,Royals home opener,9,1,3,39393.0,39393.0,39393.0,False,Royals Alt Baby Blue Jersey,Royals Alt Baby Blue Pants,Royals Alt White Front R-Crown Hat,118_jersey_3_2025,Guardians Away Grey Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_2_2025
778561,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,113,Cincinnati Reds,4.0,0,1,.000,False,137,San Francisco Giants,6.0,1,0,1.000,True,2602,Great American Ball Park,N,1,day,Reds Home Opener,9,1,3,43876.0,43876.0,43876.0,False,Reds Home White Jersey,Reds Home White Pants,"Reds Primary All Red ""C"" Hat",113_jersey_1_2025,Giants Away Grey Jersey,Giants Away Grey Pants,Giants Primary All Black Hat,137_jersey_2_2025
778559,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,117,Houston Astros,3.0,1,0,1.000,True,121,New York Mets,1.0,0,1,.000,False,2392,Daikin Park,N,1,day,Astros home opener,9,1,3,42305.0,42305.0,42305.0,False,Astros Home White Jersey,Astros Home White Pants,Astros Primary All Blue Hat,117_jersey_1_2025,Mets Away Grey Jersey,Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_2_2025
778554,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,145,Chicago White Sox,8.0,1,0,1.000,True,108,Los Angeles Angels,1.0,0,1,.000,False,4,Rate Field,N,1,day,White Sox home opener,9,1,3,31403.0,31403.0,31403.0,False,White Sox Home Pinstripe Jersey,White Sox Home White Pinstripe Pants,White Sox Primary Black Hat,145_jersey_1_2025,Angels Alt Red Jersey,Angels Away Grey Pants,"Angels Primary Red ""A"" Hat",108_jersey_3_2025
778551,2025-03-27,2025-03-27T20:15:00Z,2025,R,Final,F,138,St. Louis Cardinals,5.0,1,0,1.000,True,142,Minnesota Twins,3.0,0,1,.000,False,2889,Busch Stadium,N,1,day,Cardinals home opener,9,1,3,47395.0,47395.0,47395.0,False,Cardinals Home White Jersey,Cardinals Home White Pants,Cardinals Primary Red Hat,138_jersey_1_2025,Twins Alt Navy Jersey,Twins Away Grey Pants,"Twins Alt Navy ""M"" Hat",142_jersey_4_2025
778546,2025-03-27,2025-03-27T23:10:00Z,2025,R,Final,F,119,Los Angeles Dodgers,5.0,3,0,1.000,True,116,Detroit Tigers,4.0,0,1,.000,False,22,Dodger Stadium,N,1,day,Dodgers home opener,9,1,3,53595.0,53595.0,53595.0,False,"Dodgers ""Gold Series"" Jersey","Dodgers ""Gold Series"" Pants","Dodgers ""Gold Series"" Hat",119_jersey_6_2025,Tigers Away Grey Jersey,Tigers Away Grey Pants,"Tigers Alt Navy ""Orange D"" Hat",116_jersey_2_2025
778552,2025-03-27,2025-03-28T02:10:00Z,2025,R,Final,F,109,Arizona Diamondbacks,6.0,0,1,.000,False,112,Chicago Cubs,10.0,1,2,.333,True,15,Chase Field,N,1,night,D-backs home opener,9,1,4,49070.0,49070.0,49070.0,False,Diamondbacks Home Cream Jersey,Diamondbacks Home Cream Pants,"Diamondbacks Red Top Black Bill ""A"" Hat",109_jersey_1_2025,Cubs Alt Blue Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_3_2025
778547,2025-03-27,2025-03-28T02:10:00Z,2025,R,Final,F,136,Seattle Mariners,4.0,1,0,1.000,True,133,Athletics,2.0,0,1,.000,False,680,T-Mobile Park,N,1,night,Mariners home opener,9,1,4,42871.0,42871.0,42871.0,False,Mariners Home White Jersey,Mariners Home White Pants,Mariners All Navy Hat,136_jersey_1_2025,Athletics Alt Yellow Jersey,Athletics Road Grey Pants,"Athletics Alt All Green Hat, Yellow Trim ""A's""",133_jersey_4_2025
778562,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,146,Miami Marlins,5.0,1,0,1.000,True,134,Pittsburgh Pirates,4.0,0,1,.000,False,4169,loanDepot park,N,1,day,Marlins home opener,9,1,4,31693.0,31693.0,31693.0,False,Marlins Home White Jersey,Marlins Home White Pants,Marlins Primary Black Hat,146_jersey_1_2025,"Pirates Alt Black ""Pittsburgh"" Jersey",Pirates Road Grey Pants,Pirates Primary Black Hat,134_jersey_4_2025
